"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 14 13:55:48 GMT 2021","Sat Aug 14 13:55:53 GMT 2021","4721","","bejelentkezes_test","","","","test_webshop",""
"failed","Sat Aug 14 13:55:53 GMT 2021","Sat Aug 14 13:55:56 GMT 2021","3681","","regisztracio_test","","","","test_webshop",""
