"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 21:21:49 GMT 2021","Sun Aug 15 21:21:53 GMT 2021","3836","src.tests","kijelentkezes_test","","","","test_webshop",""
"passed","Sun Aug 15 21:22:09 GMT 2021","Sun Aug 15 21:22:16 GMT 2021","6842","src.tests","regisztracio_test","","","","test_webshop",""
"passed","Sun Aug 15 21:21:53 GMT 2021","Sun Aug 15 21:22:09 GMT 2021","16058","src.tests","megl_adat_mod_test","","","","test_webshop",""
"passed","Sun Aug 15 21:21:45 GMT 2021","Sun Aug 15 21:21:49 GMT 2021","3725","src.tests","bejelentkezes_test","","","","test_webshop",""
"failed","Sun Aug 15 21:21:10 GMT 2021","Sun Aug 15 21:21:45 GMT 2021","35208","src.tests","adat_torlese_test","","","","test_webshop",""
"passed","Sun Aug 15 21:22:16 GMT 2021","Sun Aug 15 21:22:22 GMT 2021","6866","src.tests","tobb_oldal_list_test","","","","test_webshop",""
"passed","Sun Aug 15 21:22:22 GMT 2021","Sun Aug 15 21:22:32 GMT 2021","9668","src.tests","uj_adat_bevitel_test","","","","test_webshop",""
