"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 13:29:48 GMT 2021","Sun Aug 15 13:30:04 GMT 2021","16117","src.tests","megl_adat_mod_test","","","","test_webshop",""
"passed","Sun Aug 15 13:29:43 GMT 2021","Sun Aug 15 13:29:48 GMT 2021","4621","src.tests","bejelentkezes_test","","","","test_webshop",""
"passed","Sun Aug 15 13:30:04 GMT 2021","Sun Aug 15 13:30:10 GMT 2021","6765","src.tests","regisztracio_test","","","","test_webshop",""
"passed","Sun Aug 15 13:30:17 GMT 2021","Sun Aug 15 13:30:27 GMT 2021","9428","src.tests","uj_adat_bevitel_test","","","","test_webshop",""
"passed","Sun Aug 15 13:30:10 GMT 2021","Sun Aug 15 13:30:17 GMT 2021","6728","src.tests","tobb_oldal_list_test","","","","test_webshop",""
