"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 21:27:01 GMT 2021","Tue Aug 17 21:27:08 GMT 2021","6761","src.tests.surface","tobb_oldal_list_test","","","","test_webshop",""
"passed","Tue Aug 17 21:26:35 GMT 2021","Tue Aug 17 21:26:39 GMT 2021","3789","src.tests.surface","kijelentkezes_test","","","","test_webshop",""
"failed","Tue Aug 17 21:25:52 GMT 2021","Tue Aug 17 21:26:27 GMT 2021","34957","src.tests.surface","adat_torlese_test","","","","test_webshop",""
"passed","Tue Aug 17 21:26:31 GMT 2021","Tue Aug 17 21:26:35 GMT 2021","3648","src.tests.surface","bejelentkezes_test","","","","test_webshop",""
"passed","Tue Aug 17 21:26:55 GMT 2021","Tue Aug 17 21:27:01 GMT 2021","6755","src.tests.surface","regisztracio_test","","","","test_webshop",""
"passed","Tue Aug 17 21:26:27 GMT 2021","Tue Aug 17 21:26:31 GMT 2021","3768","src.tests.surface","adatok_list_test","","","","test_webshop",""
"passed","Tue Aug 17 21:26:39 GMT 2021","Tue Aug 17 21:26:55 GMT 2021","15929","src.tests.surface","megl_adat_mod_test","","","","test_webshop",""
"passed","Tue Aug 17 21:27:08 GMT 2021","Tue Aug 17 21:27:18 GMT 2021","9495","src.tests.surface","uj_adat_bevitel_test","","","","test_webshop",""
