"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 10:51:42 GMT 2021","Sun Aug 15 10:51:51 GMT 2021","9576","src.tests","uj_adat_bevitel_test","","","","test_webshop",""
"passed","Sun Aug 15 10:51:35 GMT 2021","Sun Aug 15 10:51:42 GMT 2021","6813","src.tests","tobb_oldal_list_test","","","","test_webshop",""
"passed","Sun Aug 15 10:51:24 GMT 2021","Sun Aug 15 10:51:28 GMT 2021","3846","src.tests","bejelentkezes_test","","","","test_webshop",""
"passed","Sun Aug 15 10:51:28 GMT 2021","Sun Aug 15 10:51:35 GMT 2021","6842","src.tests","regisztracio_test","","","","test_webshop",""
