"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 15:23:06 GMT 2021","Sat Aug 14 15:23:13 GMT 2021","6811","src.tests","regisztracio_test","","","","test_webshop",""
"passed","Sat Aug 14 15:23:02 GMT 2021","Sat Aug 14 15:23:06 GMT 2021","3815","src.tests","bejelentkezes_test","","","","test_webshop",""
