"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 17:08:33 GMT 2021","Sun Aug 15 17:08:36 GMT 2021","3603","src.tests","bejelentkezes_test","","","","test_webshop",""
"failed","Sun Aug 15 17:07:58 GMT 2021","Sun Aug 15 17:08:33 GMT 2021","34843","src.tests","adat_torlese_test","","","","test_webshop",""
"passed","Sun Aug 15 17:08:52 GMT 2021","Sun Aug 15 17:08:59 GMT 2021","6706","src.tests","regisztracio_test","","","","test_webshop",""
"passed","Sun Aug 15 17:09:05 GMT 2021","Sun Aug 15 17:09:15 GMT 2021","9341","src.tests","uj_adat_bevitel_test","","","","test_webshop",""
"passed","Sun Aug 15 17:08:36 GMT 2021","Sun Aug 15 17:08:52 GMT 2021","15902","src.tests","megl_adat_mod_test","","","","test_webshop",""
"passed","Sun Aug 15 17:08:59 GMT 2021","Sun Aug 15 17:09:05 GMT 2021","6661","src.tests","tobb_oldal_list_test","","","","test_webshop",""
