"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 08:05:52 GMT 2021","Sun Aug 15 08:05:56 GMT 2021","4526","src.tests","bejelentkezes_test","","","","test_webshop",""
"passed","Sun Aug 15 08:05:56 GMT 2021","Sun Aug 15 08:06:03 GMT 2021","6813","src.tests","regisztracio_test","","","","test_webshop",""
"passed","Sun Aug 15 08:06:03 GMT 2021","Sun Aug 15 08:06:10 GMT 2021","6753","src.tests","tobb_oldal_list_test","","","","test_webshop",""
